จังหวัด,pop,houses,area,Temple,income,Area.Category,pop.area,poor
กรุงเทพมหานคร,5527994.00,3147231.00,1568.74,457.00,40200.77,S,3523.85,51056.00
สมุทรปราการ,1356449.00,733185.00,1004.09,127.00,32913.65,S,1350.92,24732.00
นนทบุรี,1288637.00,728953.00,622.30,196.00,41129.42,S,2070.75,0.00
ปทุมธานี,1190060.00,660020.00,1525.86,196.00,39506.99,S,779.93,17820.00
พระนครศรีอยุธยา,820512.00,342753.00,2556.64,519.00,31416.10,S,320.93,14231.00
อ่างทอง,274763.00,102684.00,968.37,220.00,24509.73,S,283.74,37162.00
ลพบุรี,739473.00,303565.00,6199.75,719.00,26676.28,L,119.27,22792.00
สิงห์บุรี,204526.00,79494.00,822.48,184.00,26597.88,S,248.67,9685.00
ชัยนาท,320432.00,128284.00,2469.75,280.00,23326.07,S,129.74,44487.00
สระบุรี,643963.00,288275.00,3576.49,526.00,33660.05,M,180.05,25223.00
ชลบุรี,1583672.00,1092000.00,4363.00,406.00,32355.77,M,362.98,0.00
ระยอง,751343.00,524479.00,3552.00,276.00,28142.07,M,211.53,1290.00
จันทบุรี,536557.00,248074.00,6338.00,384.00,30877.60,L,84.66,25039.00
ตราด,228376.00,109890.00,2819.00,148.00,29917.26,S,81.01,17022.00
ฉะเชิงเทรา,724178.00,321929.00,5351.00,370.00,23196.36,M,135.34,4733.00
ปราจีนบุรี,495325.00,225949.00,4762.36,415.00,27232.59,M,104.01,19201.00
นครนายก,260433.00,104249.00,2122.00,212.00,29546.89,S,122.73,8564.00
สระแก้ว,561992.00,221802.00,7195.44,418.00,20709.22,L,78.10,78838.00
นครราชสีมา,2634154.00,1024002.00,20493.96,2179.00,24779.44,XL,128.53,525622.00
บุรีรัมย์,1579805.00,483349.00,10322.89,1097.00,23045.17,XL,153.04,103388.00
สุรินทร์,1376230.00,410088.00,8124.06,972.00,24008.81,L,169.40,69244.00
ศรีสะเกษ,1457556.00,405275.00,8839.98,1388.00,16568.69,L,164.88,170825.00
อุบลราชธานี,1868519.00,629504.00,15774.00,1848.00,20969.28,XL,118.46,262446.00
ยโสธร,533394.00,179229.00,4161.66,706.00,19666.59,M,128.17,11590.00
ชัยภูมิ,1122265.00,406943.00,12778.29,1095.00,20280.25,XL,87.83,27582.00
อำนาจเจริญ,376350.00,122801.00,3161.25,394.00,20814.25,S,119.05,19430.00
บึงกาฬ,421995.00,140512.00,4305.00,450.00,24345.36,M,98.02,8270.00
หนองบัวลำภู,509001.00,154912.00,3859.09,511.00,23867.04,M,131.90,85623.00
ขอนแก่น,1790863.00,654344.00,10885.99,1545.00,18028.45,XL,164.51,9875.00
อุดรธานี,1566510.00,538277.00,11730.30,1532.00,22606.52,XL,133.54,118389.00
เลย,638732.00,230763.00,11424.61,740.00,26532.42,XL,55.91,5236.00
หนองคาย,516843.00,181752.00,3027.28,677.00,21574.78,S,170.73,25240.00
มหาสารคาม,948310.00,308947.00,5291.68,1092.00,26542.15,M,179.21,17374.00
ร้อยเอ็ด,1296013.00,400811.00,8299.45,1647.00,17713.50,L,156.16,69492.00
กาฬสินธุ์,975570.00,316604.00,6946.75,955.00,19398.37,L,140.44,198629.00
สกลนคร,1146286.00,396177.00,9605.76,1241.00,22507.75,XL,119.33,62371.00
นครพนม,717040.00,235673.00,5512.67,841.00,18524.55,L,130.07,70989.00
มุกดาหาร,351484.00,119972.00,4339.83,409.00,20607.88,M,80.99,11878.00
เชียงใหม่,1789385.00,852520.00,20107.06,1459.00,22963.48,XL,88.99,97716.00
ลำพูน,401139.00,185253.00,4505.88,458.00,25377.46,M,89.03,8277.00
ลำปาง,724678.00,298848.00,12533.96,773.00,19857.63,XL,57.82,51914.00
อุตรดิตถ์,446148.00,174440.00,7838.59,350.00,21664.34,L,56.92,40800.00
แพร่,434580.00,180833.00,6538.60,374.00,20366.72,L,66.46,36478.00
น่าน,475875.00,173216.00,11472.07,462.00,20555.92,XL,41.48,22623.00
พะเยา,464505.00,197593.00,6335.06,478.00,16338.27,L,73.32,66507.00
เชียงราย,1298425.00,569461.00,11678.37,1076.00,15618.97,XL,111.18,68016.00
แม่ฮ่องสอน,285916.00,117497.00,12681.26,147.00,15495.95,XL,22.55,59157.00
นครสวรรค์,1035028.00,426048.00,9597.68,816.00,20527.42,XL,107.84,51949.00
อุทัยธานี,325116.00,127506.00,6730.25,318.00,18427.96,L,48.31,17877.00
กำแพงเพชร,712143.00,281829.00,8607.49,629.00,20941.15,L,82.74,16625.00
ตาก,676583.00,228736.00,16406.65,279.00,22631.76,XL,41.24,69860.00
สุโขทัย,585352.00,222630.00,6596.09,380.00,22460.92,L,88.74,92910.00
พิษณุโลก,847384.00,358036.00,10815.85,616.00,20912.97,XL,78.35,5723.00
พิจิตร,529395.00,200600.00,4531.01,472.00,22192.41,M,116.84,7517.00
เพชรบูรณ์,978372.00,368998.00,12668.42,922.00,26150.56,XL,77.23,49078.00
ราชบุรี,868281.00,332214.00,5196.46,448.00,25995.16,M,167.09,38977.00
กาญจนบุรี,894054.00,353679.00,19483.15,597.00,25939.81,XL,45.89,49282.00
สุพรรณบุรี,835360.00,311136.00,5358.01,597.00,17573.70,L,155.91,89129.00
นครปฐม,922171.00,417915.00,2168.33,232.00,38788.18,S,425.29,32961.00
สมุทรสาคร,586789.00,302618.00,872.35,110.00,27590.85,S,672.66,55555.00
สมุทรสงคราม,190842.00,73940.00,416.71,113.00,24964.12,S,457.98,8236.00
เพชรบุรี,482875.00,224570.00,6225.14,278.00,26921.92,L,77.57,22163.00
ประจวบคีรีขันธ์,553171.00,276936.00,6367.62,244.00,26462.95,L,86.87,9384.00
นครศรีธรรมราช,1549344.00,590976.00,9942.50,644.00,31052.80,XL,155.83,199911.00
กระบี่,479351.00,197381.00,4708.51,87.00,29840.64,M,101.81,34461.00
พังงา,268016.00,120551.00,4170.90,91.00,24593.65,M,64.26,11136.00
ภูเก็ต,418785.00,277112.00,543.03,41.00,33328.16,S,771.19,3767.00
สุราษฎร์ธานี,1072464.00,521265.00,12891.47,360.00,34402.22,XL,83.19,42245.00
ระนอง,194573.00,94295.00,3298.05,44.00,21990.56,S,59.00,56386.00
ชุมพร,509479.00,244176.00,6009.85,238.00,30598.05,L,84.77,22002.00
สงขลา,1431536.00,562422.00,7973.89,436.00,22691.40,L,179.53,100063.00
สตูล,324835.00,107562.00,2478.98,43.00,23866.82,S,131.04,29162.00
ตรัง,639788.00,237935.00,4917.52,176.00,24457.23,M,130.10,73032.00
พัทลุง,522541.00,199687.00,3424.47,249.00,24084.10,M,152.59,59597.00
ปัตตานี,729581.00,199103.00,1940.36,85.00,20691.69,S,376.00,199820.00
ยะลา,542314.00,173226.00,4521.08,53.00,19181.87,M,119.95,91960.00
นราธิวาส,809660.00,223141.00,4475.43,79.00,17512.02,M,180.91,137001.00